cve,epss,ranking_epss
CVE-2021-43803,0.02149,0.83641
CVE-2024-6485,0.00068,0.21561
CVE-2020-7773,0.00367,0.57956
CVE-2022-25873,0.00524,0.66109
CVE-2025-57810,0.00101,0.28606
CVE-2020-7690,0.00234,0.46225
CVE-2021-31712,0.00263,0.49653
CVE-2021-32820,0.90956,0.99622
CVE-2022-0144,0.00052,0.16126
CVE-2020-5263,0.00203,0.4275
CVE-2018-3737,0.00562,0.67434
CVE-2025-54419,0.00035,0.09148
CVE-2024-43796,0.00058,0.18311
CVE-2024-46992,0.0001,0.00739
CVE-2024-51757,0.00667,0.70438
CVE-2022-26260,0.00281,0.5116
CVE-2020-7712,0.0039,0.59349
CVE-2024-42460,0.00135,0.34138
CVE-2019-14653,0.00223,0.4503
CVE-2023-26136,0.06872,0.91018
CVE-2022-25863,0.00676,0.70631
CVE-2023-30547,0.83556,0.99248
CVE-2017-16114,0.00274,0.50652
CVE-2021-3807,0.00215,0.44183
CVE-2024-21507,0.00341,0.56195
CVE-2025-59364,0.00048,0.1479
CVE-2025-54793,0.00059,0.18585
CVE-2023-26118,0.00481,0.64284
CVE-2023-26102,0.00081,0.24896
CVE-2024-8373,0.0004,0.11668
CVE-2021-23495,0.00255,0.4887
CVE-2025-47934,0.00018,0.03237
CVE-2024-29203,0.01571,0.80908
CVE-2021-39167,0.00443,0.62532
CVE-2017-1000042,0.00164,0.37993
CVE-2022-25345,0.0033,0.55448
CVE-2025-54070,0.00063,0.20051
CVE-2021-22963,0.00172,0.39006
CVE-2022-48285,0.00928,0.75306
CVE-2021-22896,0.00303,0.53167
CVE-2020-7720,0.02085,0.83396
CVE-2022-0323,0.00227,0.4549
CVE-2025-9288,0.00123,0.32272
CVE-2023-7079,0.00062,0.19753
CVE-2024-36361,0.00201,0.42495
CVE-2024-38357,0.00798,0.73222
CVE-2023-2251,0.00422,0.61327
CVE-2015-8862,0.0018,0.40011
CVE-2024-38372,0.00164,0.38048
CVE-2021-23566,0.00033,0.08459
CVE-2020-7691,0.00228,0.45599
CVE-2023-26920,0.00172,0.39163
CVE-2022-4973,0.00295,0.52467
CVE-2022-0654,0.00342,0.56229
CVE-2024-0406,0.13501,0.94
CVE-2022-2217,0.00326,0.54994
CVE-2025-48068,0.00017,0.02897
CVE-2022-24999,0.03422,0.86994
CVE-2021-23358,0.01208,0.78292
