repository,star_range,star,latest_push,files,total_dependencies,number_of_vulnerabilities,ghsa,cve_strings,cvss,severity,sploitus_number_of_pocs
f/awesome-chatgpt-prompts,>1800,134348,2025-09-22T15:26:50Z,package.json,0,0,,,,,0
airbnb/javascript,>1800,147423,2025-09-22T14:55:39Z,package.json,18,1,GHSA-968p-4wvh-cqc8,CVE-2025-27789,,MODERATE,0
jaywcjlove/awesome-mac,>1800,88706,2025-09-22T15:18:45Z,package.json,5,0,,,,,0
anuraghazra/github-readme-stats,>1800,76069,2025-09-22T15:51:54Z,package.json,29,0,,,,,0
typicode/json-server,>1800,75052,2025-09-22T11:35:45Z,package.json,27,1,,CVE-2025-46233,6.5,,0
axios/axios,>1800,107684,2025-09-22T13:56:40Z,package.json,65,9,"GHSA-fjgf-rc76-4x9p,GHSA-qwcr-r2fm-qrc7,GHSA-qw6h-vgh9-j6wx,GHSA-gcx4-mw62-g8wm,GHSA-g5hg-p3ph-g8qg,GHSA-75v8-2h7p-7m2m,GHSA-44fp-w29j-9vj5,GHSA-rv95-896h-c2vc,GHSA-4pg4-qvpc-4q3h","CVE-2024-29041,CVE-2024-43796,CVE-2025-46653,CVE-2024-47068,CVE-2025-48997,CVE-2024-45590,CVE-2025-47935,CVE-2025-47944,CVE-2025-7338","6.1,7.5,6.1,6.1,5.0","HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,LOW",0
hakimel/reveal.js,>1800,69608,2025-09-22T11:58:19Z,package.json,27,1,GHSA-gcx4-mw62-g8wm,CVE-2024-47068,6.1,HIGH,0
expressjs/express,>1800,67733,2025-09-22T15:48:04Z,package.json,44,0,,,,,0
leonardomso/33-js-concepts,>1800,65636,2025-09-22T14:17:33Z,package.json,0,0,,,,,0
louislam/uptime-kuma,>1800,75234,2025-09-22T15:49:57Z,package.json,145,14,"GHSA-3h5v-q93c-6h6q,GHSA-4r4m-qw57-chr8,GHSA-g4jq-h2w9-997c,GHSA-h755-8qp9-cq85,GHSA-x8qp-wqqm-57ph,GHSA-mwcw-c2x4-8c55,GHSA-xcj6-pq6g-qj4x,GHSA-fjxv-7rqg-78g4,GHSA-4hjh-wcwx-xvwj,GHSA-356w-63v5-8wf4,GHSA-jqfw-vq24-v9c3,GHSA-fqg8-vfv7-8fj8,GHSA-859w-5945-r5v3","CVE-2024-27307,CVE-2023-36665,CVE-2025-46565,CVE-2025-58752,CVE-2025-58754,CVE-2025-32395,CVE-2024-37890,CVE-2024-57965,CVE-2025-7783,CVE-2025-58751,CVE-2025-53892,CVE-2025-31125,CVE-2024-55565,CVE-2025-31486","5.3,0.0,9.8","MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,CRITICAL,HIGH,MODERATE,CRITICAL,CRITICAL,HIGH,MODERATE",2
chartjs/Chart.js,>1800,66571,2025-09-22T15:27:57Z,package.json,75,7,"GHSA-v78c-4p63-2j6c,GHSA-7x7c-qm48-pq9c,GHSA-56x4-j7p9-fcf9,GHSA-3xq5-wjfh-ppjc,GHSA-rc3x-jf5g-xvc5,GHSA-gcx4-mw62-g8wm,GHSA-5j4c-8p2g-v4jx","CVE-2024-9506,CVE-2021-23495,CVE-2022-0437,CVE-2024-47068,CVE-2023-22467","6.1,7.5,5.4","HIGH,HIGH,MODERATE,MODERATE,LOW,LOW,MODERATE",0
juliangarnier/anime,>1800,63939,2025-09-22T15:00:04Z,package.json,9,1,GHSA-gcx4-mw62-g8wm,CVE-2024-47068,6.1,HIGH,0
adam-p/markdown-here,>1800,60015,2025-09-22T06:22:56Z,package.json,3,0,,,,,0
h5bp/html5-boilerplate,>1800,57162,2025-09-22T12:23:14Z,package.json,21,0,,,,,0
jgraph/drawio-desktop,>1800,56901,2025-09-22T15:44:29Z,package.json,16,2,GHSA-vmqv-hx8q-j7mg,"CVE-2022-29257,CVE-2025-55305","6.6,6.6",MODERATE,0
jquery/jquery,>1800,59585,2025-09-22T13:21:53Z,package.json,33,0,,,,,0
webpack/webpack,>1800,65601,2025-09-22T13:21:32Z,package.json,166,5,"GHSA-p6mc-m468-83gw,GHSA-9c47-m6qq-7p4h,GHSA-4gmj-3p3h-gm8h,GHSA-29mw-wpgm-hmr9,GHSA-35jh-r3h4-6jhm","CVE-2022-46175,CVE-2024-27088,CVE-2021-23337,CVE-2020-28500,CVE-2020-8203","0.0,7.1,7.2","LOW,HIGH,HIGH,MODERATE,HIGH,MODERATE,HIGH",0
typescript-cheatsheets/react,>1800,46646,2025-09-22T08:09:06Z,package.json,12,0,,,,,0
iamkun/dayjs,>1800,48242,2025-09-22T13:44:57Z,package.json,30,6,"GHSA-7x7c-qm48-pq9c,GHSA-wc69-rhjr-hc9g,GHSA-56x4-j7p9-fcf9,GHSA-v78c-4p63-2j6c,GHSA-rc3x-jf5g-xvc5,GHSA-gcx4-mw62-g8wm","CVE-2022-31129,CVE-2022-0437,CVE-2024-47068,CVE-2021-23495","6.1,7.5,5.4","HIGH,HIGH,MODERATE,MODERATE,LOW,MODERATE",0
bigskysoftware/htmx,>1800,46103,2025-09-22T15:28:44Z,package.json,17,0,,,,,0
google/zx,>1800,44632,2025-09-22T15:24:40Z,package.json,44,0,,,,,0
Mintplex-Labs/anything-llm,>1800,49275,2025-09-22T15:21:26Z,package.json,143,24,"GHSA-4r4m-qw57-chr8,GHSA-qwcr-r2fm-qrc7,GHSA-64vr-g452-qvp3,GHSA-9pv7-vfvm-6vr7,GHSA-qw6h-vgh9-j6wx,GHSA-c24v-8rfc-w8vw,GHSA-x574-m823-4x7w,GHSA-353f-5xf4-qw67,GHSA-mmhx-hmjr-r674,GHSA-7fh5-64p2-3v2j,GHSA-8jhw-289h-jh2g,GHSA-356w-63v5-8wf4,GHSA-hc5w-c9f8-9cc4,GHSA-6m59-8fmv-m5f9,GHSA-g4jq-h2w9-997c,GHSA-9cwx-2883-4wfx,GHSA-xcj6-pq6g-qj4x,GHSA-2p57-rm9w-gvfp,GHSA-vg6x-rcgg-rjx6,GHSA-gx9m-whjm-85jf,GHSA-jqfw-vq24-v9c3,GHSA-vhxf-7vqr-mrjg,GHSA-859w-5945-r5v3,GHSA-rv95-896h-c2vc","CVE-2024-29041,CVE-2024-43796,CVE-2024-47875,CVE-2025-26791,CVE-2023-44270,CVE-2024-29415,CVE-2025-24010,CVE-2025-46565,CVE-2024-45812,CVE-2024-45811,CVE-2024-23331,CVE-2025-58752,CVE-2024-31207,CVE-2024-45801,CVE-2023-34092,CVE-2025-32395,CVE-2024-7042,CVE-2024-7774,CVE-2025-30208,CVE-2025-58751,CVE-2025-31125,CVE-2024-45590,CVE-2023-26144,CVE-2025-31486","4.9,5.3,5.3,5.0,4.9,7.5","HIGH,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,MODERATE,MODERATE,LOW,HIGH,HIGH,MODERATE,HIGH,MODERATE,LOW,LOW,HIGH,MODERATE",1
sudheerj/reactjs-interview-questions,>1800,43054,2025-09-22T15:06:18Z,package.json,6,0,,,,,0
Leaflet/Leaflet,>1800,43654,2025-09-22T15:26:12Z,package.json,27,1,,CVE-2017-1000042,6.1,,0
remoteintech/remote-jobs,>1800,39005,2025-09-22T11:15:35Z,package.json,10,5,"GHSA-jr5f-v2jv-69x6,GHSA-8hc4-vh64-cxmj,GHSA-2rq5-699j-x7p6,GHSA-4hjh-wcwx-xvwj","CVE-2023-25345,CVE-2025-58754,CVE-2024-39338,CVE-2025-27152,CVE-2024-57965",0.0,"HIGH,HIGH,HIGH,HIGH",0
impress/impress.js,>1800,38223,2025-09-22T12:12:24Z,package.json,13,3,"GHSA-rc3x-jf5g-xvc5,GHSA-7x7c-qm48-pq9c,GHSA-4wf5-vphf-c2xc","CVE-2022-0437,CVE-2021-23495,CVE-2022-25858","5.4,5.3","MODERATE,MODERATE,HIGH",0
nolimits4web/swiper,>1800,41430,2025-09-22T15:41:33Z,package.json,41,14,"GHSA-4r4m-qw57-chr8,GHSA-g4jq-h2w9-997c,GHSA-8jhw-289h-jh2g,GHSA-64vr-g452-qvp3,GHSA-9cwx-2883-4wfx,GHSA-c24v-8rfc-w8vw,GHSA-xcj6-pq6g-qj4x,GHSA-gcx4-mw62-g8wm,GHSA-x574-m823-4x7w,GHSA-vg6x-rcgg-rjx6,GHSA-356w-63v5-8wf4,GHSA-jqfw-vq24-v9c3,GHSA-859w-5945-r5v3,GHSA-92r3-m2mg-pj97","CVE-2023-49293,CVE-2025-32395,CVE-2024-47068,CVE-2025-24010,CVE-2025-46565,CVE-2025-30208,CVE-2024-45812,CVE-2024-45811,CVE-2024-23331,CVE-2025-58751,CVE-2025-31125,CVE-2025-58752,CVE-2024-31207,CVE-2025-31486","6.1,5.3","HIGH,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",2
preactjs/preact,>1800,37993,2025-09-22T15:04:17Z,package.json,49,23,"GHSA-8qr4-xgw6-wmr3,GHSA-4r4m-qw57-chr8,GHSA-c76h-2ccp-4975,GHSA-r6ch-mqf9-qc9w,GHSA-cxrh-j4jr-qwg3,GHSA-wqq4-5wpv-mx2g,GHSA-x574-m823-4x7w,GHSA-3787-6prv-h9w3,GHSA-356w-63v5-8wf4,GHSA-5r9g-qh6m-jxff,GHSA-m4v8-wqvr-p9f7,GHSA-3cvr-822r-rqcc,GHSA-9qxr-qj54-h672,GHSA-g4jq-h2w9-997c,GHSA-xcj6-pq6g-qj4x,GHSA-vg6x-rcgg-rjx6,GHSA-q768-x9m6-m9qp,GHSA-pgw7-wx7w-2w33,GHSA-jqfw-vq24-v9c3,GHSA-f772-66g8-q5h3,GHSA-859w-5945-r5v3","CVE-2024-30260,CVE-2022-31151,CVE-2025-24010,CVE-2025-46565,CVE-2023-45143,CVE-2022-32210,CVE-2025-58752,CVE-2022-31150,CVE-2022-35948,CVE-2025-32395,CVE-2022-35949,BIT-node-min-2023-23936,CVE-2023-24807,CVE-2024-30261,BIT-node-2023-23936,CVE-2025-30208,CVE-2025-22150,CVE-2025-58751,CVE-2025-47279,CVE-2025-31125,CVE-2024-24758,CVE-2023-23936,CVE-2025-31486","5.3,3.9,5.3","MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,HIGH,MODERATE,LOW,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,LOW,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW",0
markedjs/marked,>1800,35656,2025-09-22T15:49:14Z,package.json,25,1,,CVE-2020-26226,"8.1,8.1",,0
koajs/koa,>1800,35635,2025-09-22T15:34:49Z,package.json,23,0,,,,,0
